year,month,date,action,resourceType,resource
2025,November,2025-11-03 23:30:22-05:00,Remove,IP,130.12.104.0-130.12.104.255
2025,November,2025-11-03 23:30:22-05:00,Add,IP,2602:F4DF::-2602:F4DF:FF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-03 23:30:22-05:00,Add,IP,2604:27A0::-2604:27A0:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-03 23:30:22-05:00,Add,IP,23.148.244.0-23.148.244.255
2025,November,2025-11-03 23:30:22-05:00,Add,IP,23.148.252.0-23.148.252.255
2025,November,2025-11-03 23:30:22-05:00,Add,IP,74.188.240.0-74.188.243.255
2025,November,2025-11-03 23:30:22-05:00,Add,IP,130.12.104.0-130.12.104.255
2025,November,2025-11-03 23:30:22-05:00,Remove,ASN,AS397015
2025,November,2025-11-03 23:30:22-05:00,Add,ASN,AS3575
2025,November,2025-11-03 23:30:22-05:00,Add,ASN,AS36793
2025,November,2025-11-03 23:30:22-05:00,Add,ASN,AS40030
2025,November,2025-11-03 23:30:22-05:00,Add,ASN,AS40083
2025,November,2025-11-03 23:30:22-05:00,Add,ASN,AS40105
2025,November,2025-11-03 23:30:22-05:00,Add,ASN,AS40574
2025,November,2025-11-03 23:30:22-05:00,Add,ASN,AS397015
2025,November,2025-11-04 23:30:22-05:00,Remove,IP,131.143.148.0-131.143.151.255
2025,November,2025-11-04 23:30:22-05:00,Remove,IP,131.143.216.0-131.143.219.255
2025,November,2025-11-04 23:30:22-05:00,Add,IP,2602:F4DB::-2602:F4DB:FF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-04 23:30:22-05:00,Add,IP,2602:F4DC::-2602:F4DC:FF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-04 23:30:22-05:00,Add,IP,2602:F4DD::-2602:F4DD:FF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-04 23:30:22-05:00,Add,IP,2602:F4DE::-2602:F4DE:FFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-04 23:30:22-05:00,Add,IP,2604:27E0::-2604:27E0:FFFF:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-04 23:30:22-05:00,Add,IP,2620:DE:E000::-2620:DE:E000:FFFF:FFFF:FFFF:FFFF:FFFF
2025,November,2025-11-04 23:30:22-05:00,Add,IP,23.149.4.0-23.149.4.255
2025,November,2025-11-04 23:30:22-05:00,Add,IP,23.149.12.0-23.149.12.255
2025,November,2025-11-04 23:30:22-05:00,Add,IP,23.149.20.0-23.149.20.255
2025,November,2025-11-04 23:30:22-05:00,Add,IP,23.149.28.0-23.149.28.255
2025,November,2025-11-04 23:30:22-05:00,Add,IP,23.149.36.0-23.149.36.255
2025,November,2025-11-04 23:30:22-05:00,Add,IP,131.143.148.0-131.143.151.255
2025,November,2025-11-04 23:30:22-05:00,Add,IP,131.143.216.0-131.143.219.255
2025,November,2025-11-04 23:30:22-05:00,Add,ASN,AS690
2025,November,2025-11-04 23:30:22-05:00,Add,ASN,AS40775
2025,November,2025-11-04 23:30:22-05:00,Add,ASN,AS40806
2025,November,2025-11-04 23:30:22-05:00,Add,ASN,AS46268
2025,November,2025-11-04 23:30:22-05:00,Add,ASN,AS46364
2025,November,2025-11-05 23:30:23-05:00,Remove,IP,131.143.222.0-131.143.222.255
2025,November,2025-11-05 23:30:23-05:00,Add,IP,2602:F4D9::-2602:F4D9:FF:FFFF:FFFF:FFFF:FFFF:FFFF
